Polly Toynbee,92,43951,336,13715
Andrew Sparrow,346,23367,427,31484
Ros Asquith,34,291,7,452
Tom Coleman,4,11,0,56
Alan Travis,322,62051,753,23751
Paul Doyle at Molineux,2,0,0,22
Mary Douglas-Home,67,2765,26,1235
Cameron Robertson,80,28101,143,4965
James Richardson,50,9185,149,1876
Matt Hall,52,2101,41,941
Emma Hardy,1,219,0,41
Chris Bryant,5,300,1,197
Jason Rodrigues,19,854,9,833
Colette Bernhardt,8,152,0,150
Katrina Dixon &amp; Justin Quirk,1,0,0,7
Olivia Swash,1,42,1,18
Kate Hodal,65,14241,185,4673
Robin Denselow,156,5519,34,1958
Victoria Kettley (MeteoGroup),2,0,1,19
Reuters,1292,100348,1330,39647
Alex Heshmaty,1,17,1,1
Mark Kermode,68,996,11,574
Jackie Wills for the <a href="http://www.guardian.co.uk/guardian-professional" title="">Guardian Professional Network</a>,20,105,5,52
Dave Simpson,158,16838,99,3040
Presented by Jason Solomons,39,543,2,482
produced by Jason Phipps with Xan Brooks,6,124,0,109
Patrick Collinson,167,13031,236,8864
Peter Preston,212,3418,79,5183
Caroline Sullivan,131,3510,43,2698
Colin Crouch,1,28,4,22
Chris McGreal,232,118864,1291,17841
Victoria Coren,62,4132,133,2553
Gwyn Topham,144,4956,166,5746
Matt Trueman,202,9813,107,4132
Fiona Shields,24,5941,66,895
Philippa Cunniff,1,23,0,56
Nalini Sivathasan,4,132,0,160
Mark Tran,210,15667,222,8833
Sam Wollaston,217,4482,40,4584
Josh Sutton,2,751,7,227
Charles Frazier,1,9,0,5
Xan Brooks,230,32658,345,7632
Stuart James at Old Trafford,2,77,0,79
Ian Cobain,58,15173,257,6331
Phoebe Greenwood,36,16797,165,3119
Tara Conlan,160,11386,117,6406
Jeremy Plester,20,203,3,332
Alex Aldridge,42,2986,26,1766
Bernie Sanders,4,4896,88,639
Graham Hayday,25,825,29,1056
David Bryant,1,8,0,15
Piotr Smolar,4,131,4,85
Stephen Mesquita,1,12,2,19
Ian Griffiths,10,4261,54,2310
Staff,428,50700,603,19878
Paul Rees at The Stoop,5,2,0,24
Barry Glendenning,201,4862,110,5224
Margaret Dibben,133,95,7,982
Tim Adams,53,16898,467,4459
Frederika Whitehead,70,2674,32,2145
Chris Cook at Newbury,7,4,0,28
John Butler,1,180,3,25
Staff reporter,4,63,23,282
Sally Sheldon,2,81,0,82
Vicky Frost,133,16454,136,4602
Steve Bell,313,15609,203,6466
Imogen Fox,147,5275,56,4359
Greg Wood at Sandown,5,4,0,19
Guardian fashion,33,1287,39,1093
Tunde Banjoko,1,3,0,13
Maev Kennedy,216,39560,598,11081
Julian Baggini,38,8351,251,1731
Barney Ronay,258,9876,152,5582
James Callow,44,1509,18,904
Andy Wilson,422,2161,50,3173
Richard Gibson,40,64,1,361
James Walsh,55,19709,95,2901
Gary Fuller,12,167,6,531
Denis Farr,1,96,3,85
Adam Lopez,2,3175,15,397
David Shariatmadari,51,5000,76,2018
Becky Gardiner,9,975,9,313
Damian Carrington,230,52037,834,27440
Martin Kettle,101,2912,61,2250
others,5,637,14,762
Interview: Liz Arnold,1,35,1,16
Matt Scott,118,4718,41,3006
New Jersey,5,321,2,153
Colin Irwin,5,430,2,97
OrliTheBookworm,19,53,0,194
Allegra Stratton,159,18866,154,9719
Andy Wilson at Langtree Park,6,18,0,65
Jeremy Bullmore,51,76,1,220
Zoë Blackler,10,614,28,231
Lloyd Shepherd,4,1912,70,1444
Kate Connolly,60,17321,360,3667
Daniel Taylor at St&nbsp;James'&nbsp;Park,1,22,0,50
Jamie&nbsp;Jackson at Old Trafford,1,22,0,50
AYRA,3,2,2,82
Ariel Leve,11,1328,10,265
Vikram Dodd,193,42047,408,15153
Kirsty Scott,37,9292,53,1921
Shaun Edwards,44,395,4,329
Alex Clark,66,8029,111,2739
Alex Bath,7,171,19,214
Amy Fallon,7,1764,31,1077
Toby Helm,134,37554,448,19194
Leo Hickman,146,35108,645,15674
Jason Solomons,93,6024,63,1848
Simon Amstell,1,29,0,24
Daniel Simonsen,1,29,0,24
Jessie Cave,8,298,2,509
Nanjala Nyabola,1,51,1,24
Sandra Laville,221,43778,482,14204
John Ashdown,195,8203,84,5426
Daniel Taylor at Allianz Arena,1,106,8,165
Randeep Ramesh,254,56265,597,25708
Paul Harris,277,110512,1297,19061
South Carolina,17,1302,26,576
Stephen Moss,95,10775,173,3661
Sally Gillen,1,36,0,32
Mark Kramer for the <a href="http://www.guardian.co.uk/guardian-professional" title="Guardian Professional Network">Guardian Professional Network</a>,2,55,7,76
Barbara Ellen,59,5505,50,2492
Paul Myners,1,32,1,11
Katharine Ainger,4,2175,41,424
AS Byatt,4,1271,33,217
Matt Williams,102,12685,296,5837
Ryan Owen Gibson,2,215,7,186
Sonia Purnell,2,358,2,123
Alfred007,1,1,0,8
Simon Rawles,9,3201,10,562
Noah Payne-Frank,44,6009,36,1232
Mona Mahmood,74,13163,128,4869
John Hooper,175,41441,522,9607
Hermione Hoby,77,5656,67,1600
Interview by Emine Saner,16,1530,24,855
Philip Inman,2,5,0,49
Saeed Shah,57,15272,298,5224
Sarfraz Manzoor,46,6828,116,2552
Mariella Frostrup,57,670,6,535
Sarah Dempster,43,315,4,416
Tony Mitchell,1,6,0,47
Alison Rourke,60,10475,224,4535
David Conn,137,16410,156,9627
Jennifer,4,6,0,41
Minnie,4,6,0,41
aged 1,4,3,0,53
Bebe,3,4,0,27
aged 6 months,3,4,0,27
Angela Woodall,1,146,2,31
Rob Dale,4,25,0,105
Servane Mouazan,2,112,1,109
Matthew Caines,96,1736,58,3719
Robert Kitson,343,4231,47,2834
Dean Baker,29,2689,77,1223
Richard Rae,38,27,2,324
Jonathan Wilson,80,10079,190,4030
George Bouras,7,132,2,134
John Burn-Murdoch,82,5578,360,6189
Stephen Hale,4,283,6,228
Melissa Gira Grant,1,216,5,58
Interviews by Emine Saner,9,1142,24,672
Joanna Moorhead,45,42795,160,2464
Shahnaz Habib,1,17,0,14
Alistair Smith,52,561,2,753
Graeme Virtue,10,113,4,178
guardian.co.uk/fashion,11,420,2,252
Greg Freeman,11,190,13,320
Chris Rennard,3,54,1,74
Interview by Laura Barnett,90,3621,43,2072
Rosanna Greenstreet,53,4743,57,1380
Monica Mark,43,7338,119,2325
Tom Fawthrop,2,223,2,75
Andrew Pulver,226,22822,274,7774
Kate Abbott,17,787,10,423
Jamie Doward,173,49102,668,17860
<a href="http://parisbymouth.com/" title="">Paris by Mouth</a>,1,56,4,51
part of the <a href="http://www.guardian.co.uk/travel/series/guardian-travel-network" title="">Guardian Travel Network</a>,17,1144,32,770
Steve Boxer,55,1798,81,3136
Richard Williams,211,9959,181,5466
Derry Irvine,1,73,0,41
Margaret Dodwell,1,1,0,21
Sam Jones,223,41023,598,22388
Hannah Slapper,1,53,0,3
Polly Stenham,1,3363,49,958
Guy Garvey,1,3363,49,958
Tamara Rojo,1,3363,49,958
Mark-Anthony Turnage,1,3363,49,958
Fyfe Dangerfield,1,3363,49,958
Martha Wainright,1,3363,49,958
Anthony Neilson,2,3413,49,1025
Rupert Goold,2,3433,51,981
Isaac Julien,1,3363,49,958
Lucy Prebble,4,3815,84,1176
Jasmin Vardimon,1,3363,49,958
Sun,1,3363,49,958
Prasad,1,3363,49,958
Susan Philipsz,1,3363,49,958
Akram Khan,1,3363,49,958
Polly Morgan,1,3363,49,958
Kate Royal,1,3363,49,958
Ian Rickson,2,3368,49,981
Olivia Williams,2,3387,49,967
Martin Parr,1,3363,49,958
Wayne McGregor,1,3363,49,958
Jeanette Winterson,4,2586,21,554
Michael Wallace,1,36,0,23
Ali Khan,1,13,0,62
Angela Hartnett,59,2054,39,990
Bill McKibben,2,2122,29,379
Lynn Beavis for the <a href="http://www.guardian.co.uk/guardian-professional" title="">Guardian Professional Network</a>,23,175,10,30
Allan Jenkins,50,763,7,968
Nicolas Bourcier,2,134,10,72
Lauren Peters,1,0,0,5
Tracy McVeigh,118,51862,429,10608
Laura Barton,59,8489,83,2302
Rob Smyth,161,27313,174,7007
Debbie Andalo,64,655,15,1159
Lauren Niland,30,742,26,472
Charlotte Higgins,146,19438,200,5817
chief arts writer,44,10599,97,2576
Jim Sillavan,2,14,2,24
Charlie Lyne,7,623,15,215
Sam Richards,77,6055,54,1430
NoViolet Bulawayo,1,86,2,20
Tim Ashley,184,1666,33,1774
Matt Williams at Fort Meade,4,224,7,168
Nicholas Lezard,63,3922,62,1795
Marion Jordan,1,0,0,16
James Meikle,263,36383,539,17369
Rob Edwards,23,3485,64,1791
By <a href="http://www.irinnews.org/" title="">IRIN</a>,31,993,5,616
part of the <a href="http://www.guardian.co.uk/global-development/series/guardian-development-network" title="">Guardian development network</a>,58,2534,24,1651
Mark King,308,16868,245,11603
Sam Jordison,98,5153,125,2663
Harold Maio,1,77,2,28
Johnjoe McFadden,3,1079,34,292
Kevin McCarra at St James' Park,2,204,4,94
As seen by Catherine Bennett,40,247,1,413
Marina Hyde,182,16687,271,10371
Heidi Kingstone,1,40,0,5
Simon Stephenson,1,132,3,75
Mohammad Ali Shabani,2,108,5,46
Robert Ashton,9,169,4,282
David Hytner,265,21866,234,14480
Louise Taylor at St James' Park,30,472,2,676
Andy Hunter at Goodison Park,15,228,3,415
Alfonso Redondo,2,83,3,36
Joseph Hewitt,6,26,12,64
Catherine Bennett,47,2922,41,1666
Jared Schiller,6,2091,14,227
Jean Gross,2,53,0,20
Ed Cooke,5,284,12,217
Heidi Stephens,38,2253,15,991
Will Hayler at Newmarket,3,13,0,13
Jon Butterworth,64,5075,378,2032
Dave Hill,340,7022,98,7713
Jermaine Haughton,4,10,0,41
Audrey Gillan,11,3112,22,605
Grace Dent,51,2032,53,3708
Pauline Graham,2,25,0,51
David Hirst,2,188,2,84
Janet Murray,47,1177,39,2339
Mary O'Hara,21,2289,30,992
Richard Murphy,8,1772,15,408
David Runciman,5,628,10,268
Jason Vit,1,42,2,51
Alexandra Topping,207,69187,554,18989
Tony Levene,8,94,1,240
Gary Younge,69,26087,329,5229
Alan Rusbridger,21,4527,75,2317
