paper,section,articles,male,female,unknown,social,facebook,twitter,googleplus,M_social,F_social,X_social,M_facebook,F_facebook,X_facebook,M_twitter,F_twitter,X_twitter,M_googleplus,F_googleplus,X_googleplus,emptybylines
guardian,reshaping-services,9,6,2,0,42,8,34,0,15,20,0,0,1,0,15,19,0,0,0,0,1
guardian,smart-class-2025,16,1,5,1,378,290,86,2,0,171,49,0,150,18,0,19,31,0,2,0,9
guardian,housing-network,683,303,251,117,18037,5014,12907,116,9867,7337,488,2260,2577,130,7544,4711,354,63,49,4,20
guardian,planuk,10,0,1,0,29,15,14,0,0,2,0,0,1,0,0,1,0,0,0,0,9
guardian,public-leaders-network-zurich-partner-zone,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
guardian,commentisfree,10355,5862,2651,2182,3116453,2448111,637094,31248,1760218,966909,303531,1351911,784338,242135,388113,174684,58566,20194,7887,2830,412
guardian,public-leaders-network-sas-partner-zone,11,1,1,7,13,3,10,0,3,0,9,3,0,0,0,0,9,0,0,0,2
guardian,healthcare-network/sexual-health-matters-partner-zone,13,0,1,5,176,144,24,8,0,1,56,0,1,51,0,0,5,0,0,0,7
guardian,career-skills,8,1,6,0,46,36,10,0,4,42,0,4,32,0,0,10,0,0,0,0,1
guardian,local-government-network-serco-partner-zone,9,8,1,0,7,5,2,0,6,1,0,4,1,0,2,0,0,0,0,0,0
guardian,canneslions,9,0,0,0,253,210,41,2,0,0,0,0,0,0,0,0,0,0,0,0,9
guardian,nanotechnology-world,54,20,13,1,2137,1472,602,63,1028,792,20,630,659,11,357,114,9,41,19,0,21
guardian,writing-britain,2,0,0,0,26,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2
guardian,employability,4,0,0,0,61,23,37,1,0,0,0,0,0,0,0,0,0,0,0,0,4
guardian,public-leaders-network,626,360,205,81,10988,3027,7851,110,6581,3168,1222,1889,931,205,4618,2212,1006,74,25,11,4
guardian,what-future-urban-living,14,4,3,0,487,370,111,6,285,105,0,222,77,0,57,28,0,6,0,0,7
guardian,global-development,1297,714,396,330,202402,140763,59667,1972,98938,63396,28442,68319,44599,19547,29724,18137,8545,895,660,350,136
guardian,media-network-partner-zone-ebay,7,5,0,9,66,24,29,13,8,0,53,3,0,19,4,0,24,1,0,10,1
guardian,saatchi-be-the-worst,2,0,0,0,33,24,5,4,0,0,0,0,0,0,0,0,0,0,0,0,2
guardian,honda-dream-factory,27,1,0,0,1066,915,147,4,22,0,0,21,0,0,1,0,0,0,0,0,26
guardian,futurescapes,13,3,2,0,451,320,129,2,75,14,0,34,8,0,40,6,0,1,0,0,8
guardian,my-mission-south-africa,17,3,3,0,195,159,35,1,83,62,0,64,57,0,19,5,0,0,0,0,11
guardian,socialenterprise,43,0,0,0,41,12,29,0,0,0,0,0,0,0,0,0,0,0,0,0,43
guardian,advertising,36,0,0,0,49,10,39,0,0,0,0,0,0,0,0,0,0,0,0,0,36
guardian,healthcare-network,667,141,194,393,17728,6014,11482,232,4789,5847,7051,2013,2198,1796,2738,3571,5141,38,78,114,2
guardian,business-skills,1,0,0,0,20,15,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1
guardian,sustainable-business/best-practice-exchange,93,11,58,24,779,580,173,26,178,410,191,145,309,126,28,85,60,5,16,5,0
guardian,charity-awards,31,0,1,0,773,681,90,2,0,30,0,0,16,0,0,14,0,0,0,0,30
guardian,extra,370,0,0,0,2210,1263,936,11,0,0,0,0,0,0,0,0,0,0,0,0,370
guardian,media-tech-law,8,3,0,0,184,156,25,3,135,0,0,121,0,0,12,0,0,2,0,0,5
guardian,tedx,17,0,0,0,366,150,214,2,0,0,0,0,0,0,0,0,0,0,0,0,17
guardian,centrepoint,6,0,0,0,76,74,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6
guardian,weather,57,2,2,7,1078,762,302,14,692,202,84,521,143,56,162,56,28,9,3,0,47
guardian,mercedes-benz-london-fashion-week,7,0,0,0,37,16,21,0,0,0,0,0,0,0,0,0,0,0,0,0,7
guardian,news,1438,757,413,80,219167,133291,81833,4043,132458,62865,3607,76550,43431,2014,53159,18722,1532,2749,712,61,383
guardian,discover-jordan,1,0,0,0,30,13,17,0,0,0,0,0,0,0,0,0,0,0,0,0,1
guardian,oxfordmediaconvention,42,0,0,0,40,10,29,1,0,0,0,0,0,0,0,0,0,0,0,0,42
guardian,select,21,0,0,0,116,50,64,2,0,0,0,0,0,0,0,0,0,0,0,0,21
guardian,urban-chic-in-flanders,2,0,0,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
guardian,local-government-network-zurich-partner-zone,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
guardian,higher-education,36,0,0,0,5,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,36
guardian,visit-orkney,2,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
guardian,national-book-tokens,5,0,0,0,64,28,35,1,0,0,0,0,0,0,0,0,0,0,0,0,5
guardian,subscriber,22,1,0,3,95,56,39,0,4,0,21,4,0,21,0,0,0,0,0,0,19
guardian,music,6808,5164,1230,457,1159143,949935,201901,7307,796712,152181,107142,653535,121999,88132,138269,29076,18332,4908,1106,678,472
guardian,visit-hong-kong,2,0,0,0,27,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
guardian,stage,2126,1213,869,90,134103,97058,36335,710,79837,43198,7608,59044,29290,6380,20314,13713,1205,479,195,23,44
guardian,media-academy,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
guardian,childrens-books-site,1061,139,393,529,51613,34597,16606,410,8926,27992,6861,6619,21234,2014,2225,6573,4783,82,185,64,206
guardian,higher-education-network,579,197,260,67,40133,19025,20358,750,10068,16151,11629,3337,5524,8268,6531,10290,3175,200,337,186,77
guardian,advertisingsummit,48,0,1,0,598,194,395,9,0,242,0,0,32,0,0,206,0,0,4,0,47
guardian,observer-food-monthly-awards,32,0,0,0,1459,1139,318,2,0,0,0,0,0,0,0,0,0,0,0,0,32
guardian,healthcare-network-public-health-partner-zone,5,0,1,1,25,8,17,0,0,0,2,0,0,0,0,0,2,0,0,0,3
guardian,starbucks-ethical-living,1,0,0,0,20,5,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1
guardian,lifeandstyle,5821,1933,2185,509,943469,755856,180990,6623,278118,492280,62164,210015,405610,50683,65306,84018,11047,2797,2652,434,1419
guardian,theguardian,1962,531,332,440,122713,101465,20850,398,15867,93240,3085,8698,87305,1162,7027,5783,1913,142,152,10,710
guardian,eurostar-music-discovery,15,1,0,1,355,310,28,17,13,0,3,13,0,0,0,0,1,0,0,2,13
guardian,changingmediasummit,63,1,0,0,34,7,26,1,12,0,0,2,0,0,10,0,0,0,0,0,62
guardian,worklifeuk,23,0,0,0,246,144,102,0,0,0,0,0,0,0,0,0,0,0,0,0,23
guardian,cloud-technology,15,7,4,0,147,74,72,1,64,32,0,35,10,0,29,21,0,0,1,0,4
guardian,london-lives,3,0,0,0,130,116,13,1,0,0,0,0,0,0,0,0,0,0,0,0,3
guardian,public-leaders-supporter-zone-ernst-young,12,4,0,1,5,4,0,1,2,0,1,2,0,0,0,0,0,0,0,1,8
guardian,local-government-network,536,269,263,13,11433,2902,8413,118,5467,5533,218,1324,1527,40,4080,3954,175,63,52,3,2
guardian,info,103,55,13,19,3500,996,2390,114,1882,563,150,385,107,26,1413,447,121,84,9,3,37
guardian,welcome-to-wallonia,19,6,5,0,452,419,21,12,368,61,0,347,58,0,14,3,0,7,0,0,8
guardian,culture,1542,813,464,243,196294,149092,45518,1684,112832,47291,15791,88797,34468,10693,23015,12419,4964,1020,404,134,184
guardian,science,2166,975,170,1006,702622,544190,141311,17121,510509,65516,69813,402534,51026,44636,95529,13126,22851,12446,1364,2326,203
guardian,sound-artists,6,0,0,0,98,53,45,0,0,0,0,0,0,0,0,0,0,0,0,0,6
guardian,visit-dubai,5,0,0,0,163,151,4,8,0,0,0,0,0,0,0,0,0,0,0,0,5
guardian,smart-accessibility,10,8,0,0,521,341,178,2,471,0,0,303,0,0,167,0,0,1,0,0,2
guardian,higher-education-ets-toefl-partner-zone,15,0,0,0,7,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15
guardian,women-in-business-event,3,0,0,0,9,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,3
guardian,uk,6333,3868,1416,1760,1190324,859535,321309,9480,797155,268536,49781,578428,188274,32867,212223,78116,16444,6504,2146,470,553
guardian,gnmexhibitions,3,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3
guardian,campo-viejo,12,0,0,0,99,85,14,0,0,0,0,0,0,0,0,0,0,0,0,0,12
guardian,enjoy-england,2,0,0,0,45,10,35,0,0,0,0,0,0,0,0,0,0,0,0,0,2
guardian,fashion,1590,330,915,231,113441,71523,41310,608,33229,54463,15137,22630,33317,9812,10387,20873,5246,212,273,79,285
guardian,folio-society-beautiful-books,14,0,0,0,435,297,122,16,0,0,0,0,0,0,0,0,0,0,0,0,14
guardian,great-british-picnics,26,0,0,0,107,49,58,0,0,0,0,0,0,0,0,0,0,0,0,0,26
guardian,local-government-network-bt-partner-zone,6,1,0,1,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,4
guardian,good-news-guardian,8,0,0,0,178,154,24,0,0,0,0,0,0,0,0,0,0,0,0,0,8
guardian,politics,4286,3156,496,1070,570463,347007,219601,3855,432514,72033,41701,262808,45102,24190,166772,26467,17186,2934,464,325,471
guardian,banrock-station,8,0,0,0,218,157,58,3,0,0,0,0,0,0,0,0,0,0,0,0,8
guardian,education,1877,621,756,137,310152,205786,101866,2500,157182,106847,12282,105904,65608,7986,49785,40484,4175,1493,755,121,447
guardian,technology,3934,3393,359,453,906742,417481,465123,24138,745088,101999,29067,341922,47268,12559,382305,52596,15820,20861,2135,688,190
guardian,panasonic-lumix-g3,10,0,0,0,176,105,70,1,0,0,0,0,0,0,0,0,0,0,0,0,10
guardian,film,4322,3616,474,269,593969,456707,131641,5621,447225,79082,16016,340668,62313,11651,102094,16060,4211,4463,709,154,372
guardian,worldskills,15,0,8,0,132,66,65,1,0,70,0,0,37,0,0,32,0,0,1,0,7
guardian,giving-it-all,4,0,0,0,39,15,24,0,0,0,0,0,0,0,0,0,0,0,0,0,4
guardian,theobserver,318,115,32,28,22714,15549,6885,280,11716,4385,2692,7710,3349,2166,3817,1005,504,189,31,22,153
guardian,mending-broken-hearts,19,4,2,1,965,908,55,2,603,84,12,573,79,12,29,4,0,1,1,0,12
guardian,summit-scotland-2011,28,0,0,0,16,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,28
guardian,media,7248,5032,1158,977,834938,450764,373962,10212,551208,176448,49700,292257,99614,21225,252247,74346,27973,6704,2488,502,948
guardian,travel,1570,675,550,146,236181,182135,52103,1943,110200,66969,25081,87067,50306,20960,22242,16135,3947,891,528,174,417
guardian,social-care-network,297,110,139,78,12880,6710,6043,127,4538,5380,2836,2373,2578,1669,2117,2754,1138,48,48,29,1
guardian,tastemakers,11,1,0,0,21,15,5,1,0,0,0,0,0,0,0,0,0,0,0,0,10
guardian,electric-vision,9,0,0,0,134,54,77,3,0,0,0,0,0,0,0,0,0,0,0,0,9
guardian,voluntary-sector-network,686,204,454,31,33166,15135,17676,355,9943,21800,1239,2889,11855,348,6957,9704,876,97,241,15,9
guardian,discover-japan,2,0,0,0,287,267,18,2,0,0,0,0,0,0,0,0,0,0,0,0,2
guardian,media-network-partner-zone-publici,6,5,0,1,29,27,2,0,29,0,0,27,0,0,2,0,0,0,0,0,0
guardian,minority-writers-workshop,1,0,0,0,93,83,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1
guardian,social-enterprise-network-partner-zone-santander,24,3,1,16,273,174,99,0,82,8,157,77,8,73,5,0,84,0,0,0,6
guardian,igluski,1,0,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
guardian,discover-wales,17,0,0,0,144,102,38,4,0,0,0,0,0,0,0,0,0,0,0,0,17
guardian,my-ireland,15,0,0,0,677,604,71,2,0,0,0,0,0,0,0,0,0,0,0,0,15
guardian,best-awards,26,4,1,0,173,122,50,1,57,2,0,29,1,0,28,1,0,0,0,0,21
guardian,voluntary-sector-network-caf-partner-zone,9,0,1,6,34,20,9,5,0,9,22,0,7,12,0,2,5,0,0,5,2
guardian,football,12056,7694,541,3827,1031611,612083,413704,5824,803737,88197,40786,470394,48648,25981,328598,39104,14447,4745,445,358,984
guardian,social-media-week-2012,5,0,0,0,27,10,17,0,0,0,0,0,0,0,0,0,0,0,0,0,5
guardian,open-weekend,621,1,2,0,980,532,444,4,132,8,0,80,0,0,52,8,0,0,0,0,618
guardian,sustainability,72,11,10,35,1311,378,913,20,208,158,668,75,75,169,127,80,489,6,3,10,24
guardian,procurement-book,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
guardian,alsace-wines,1,0,0,0,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
guardian,guardian-masterclasses,70,0,0,0,1290,922,345,23,0,0,0,0,0,0,0,0,0,0,0,0,70
guardian,law,897,644,140,147,86143,47455,37652,1036,61572,13077,7493,33264,7664,4656,27620,5196,2741,688,217,96,122
guardian,promotions,1,0,0,0,132,121,10,1,0,0,0,0,0,0,0,0,0,0,0,0,1
guardian,megas,42,0,0,0,372,221,144,7,0,0,0,0,0,0,0,0,0,0,0,0,42
guardian,hsbc-expat-guide,10,0,8,0,41,16,25,0,0,37,0,0,15,0,0,22,0,0,0,0,2
guardian,gnmeducationcentre,29,12,27,3,196,59,136,1,23,61,0,10,23,0,13,38,0,0,0,0,13
guardian,mobile,22,3,3,0,785,394,373,18,82,139,0,7,76,0,72,62,0,3,1,0,18
guardian,journalismcompetition,212,40,97,16,3825,3322,462,41,483,2319,587,428,2072,550,53,224,27,2,23,10,59
guardian,starbucks-youth-action,11,3,5,0,304,274,28,2,134,169,0,128,145,0,4,24,0,2,0,0,3
guardian,visit-london,7,0,0,0,26,22,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7
guardian,discover-languedoc-roussillon,2,0,0,0,48,42,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2
guardian,avios-travel,3,0,0,0,18,10,8,0,0,0,0,0,0,0,0,0,0,0,0,0,3
guardian,voluntary-sector-network-zurich-partner-zone,5,0,0,4,20,11,9,0,0,0,19,0,0,10,0,0,9,0,0,0,1
guardian,summit,39,0,0,0,27,1,26,0,0,0,0,0,0,0,0,0,0,0,0,0,39
guardian,oranges-and-sunshine,2,0,0,0,19,16,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2
guardian,media-network,177,109,17,23,6526,1952,4227,347,5007,369,616,1433,159,197,3314,187,388,260,23,31,37
guardian,government-computing-network,711,202,187,322,7880,1524,6135,221,2119,2408,3353,433,344,747,1628,1984,2523,58,80,83,0
