@date, @total, @subject_female, @subject_male, @subject_middle, @subject_female_percent, @subject_male_percent, @subject_middle_percent
1/1987,161,25,136,0,0.1553,0.8448,0.0000
2/1987,120,12,107,0,0.1009,0.8992,0.0000
3/1987,150,20,130,0,0.1334,0.8667,0.0000
4/1987,153,15,138,0,0.0981,0.9020,0.0000
5/1987,160,20,139,0,0.1258,0.8743,0.0000
6/1987,168,26,139,3,0.1548,0.8274,0.0179
7/1987,187,23,162,1,0.1237,0.8710,0.0054
8/1987,174,36,134,3,0.2081,0.7746,0.0174
9/1987,180,28,152,0,0.1556,0.8445,0.0000
10/1987,193,33,157,1,0.1728,0.8220,0.0053
11/1987,189,24,164,0,0.1277,0.8724,0.0000
12/1987,235,31,202,0,0.1331,0.8670,0.0000
1/1988,226,32,192,1,0.1423,0.8534,0.0045
2/1988,203,36,166,0,0.1783,0.8218,0.0000
3/1988,211,23,187,1,0.1091,0.8863,0.0048
4/1988,229,39,189,0,0.1711,0.8290,0.0000
5/1988,192,19,173,0,0.0990,0.9011,0.0000
6/1988,190,29,158,0,0.1551,0.8450,0.0000
7/1988,189,26,163,0,0.1376,0.8625,0.0000
8/1988,196,27,169,0,0.1378,0.8623,0.0000
9/1988,187,25,160,1,0.1345,0.8603,0.0054
10/1988,215,29,185,1,0.1349,0.8605,0.0047
11/1988,208,29,179,0,0.1395,0.8606,0.0000
12/1988,203,24,178,1,0.1183,0.8769,0.0050
1/1989,234,25,209,0,0.1069,0.8932,0.0000
2/1989,221,33,188,0,0.1494,0.8507,0.0000
3/1989,252,25,225,2,0.0993,0.8929,0.0080
4/1989,246,36,210,0,0.1464,0.8537,0.0000
5/1989,263,44,216,1,0.1686,0.8276,0.0039
6/1989,241,29,212,0,0.1204,0.8797,0.0000
7/1989,192,25,164,2,0.1309,0.8587,0.0105
8/1989,219,39,178,2,0.1781,0.8128,0.0092
9/1989,235,26,209,0,0.1107,0.8894,0.0000
10/1989,240,39,201,0,0.1625,0.8375,0.0000
11/1989,243,48,194,1,0.1976,0.7984,0.0042
12/1989,258,46,211,1,0.1783,0.8179,0.0039
1/1990,315,59,256,0,0.1874,0.8127,0.0000
2/1990,253,31,221,1,0.1226,0.8736,0.0040
3/1990,291,45,243,1,0.1558,0.8409,0.0035
4/1990,240,30,209,1,0.1250,0.8709,0.0042
5/1990,289,40,249,0,0.1385,0.8616,0.0000
6/1990,259,36,222,1,0.1390,0.8572,0.0039
7/1990,259,30,229,0,0.1159,0.8842,0.0000
8/1990,268,44,223,1,0.1642,0.8321,0.0038
9/1990,261,36,224,0,0.1385,0.8616,0.0000
10/1990,275,32,242,1,0.1164,0.8800,0.0037
11/1990,257,29,228,0,0.1129,0.8872,0.0000
12/1990,276,44,232,0,0.1595,0.8406,0.0000
1/1991,291,42,247,2,0.1444,0.8488,0.0069
2/1991,249,37,211,0,0.1492,0.8509,0.0000
3/1991,302,38,263,1,0.1259,0.8709,0.0034
4/1991,265,44,220,1,0.1661,0.8302,0.0038
5/1991,280,32,247,1,0.1143,0.8822,0.0036
6/1991,257,30,227,0,0.1168,0.8833,0.0000
7/1991,266,32,233,1,0.1204,0.8760,0.0038
